@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2018/11/17 14:11:04:372',1,2297,1209,3693,5303,4642,5084,4841,5255,4539,5213,5029,4866,5123,5211,4703,5104,4789,5033,4525,5368,4870,5000,5012,5235,4442,5053,5007,5192,4577,4977,1
2,'2018/11/17 14:11:09:397',1,571,1009,1023,974,979,1116,3650,5066,4890,4926,5024,5090,4992,5111,4768,4889,4858,5095,23,15,9,29,40,36,19,21,30,24,14,20,1
3,'2018/11/17 14:11:11:544',1,6437,4867,4927,4996,4802,5001,4913,4848,4845,5151,4957,1761,11,42,25,23,22,27,21,19,30,34,32,20,22,21,19,9,23,25,1
4,'2018/11/17 14:11:13:665',1,2671,4197,5157,4697,5065,4899,5035,4868,4979,4850,2083,992,3612,34,13,19,27,46,28,18,9,38,29,6,16,15,19,4,13,31,1
5,'2018/11/17 14:11:15:591',1,3683,3611,5141,5099,4734,5005,4750,1988,41,38,29,23,30,31,16,13,19,33,39,12,16,19,19,10,16,23,31,25,17,26,1
6,'2018/11/17 14:11:46:941',2,2598,4737,5246,4874,5029,2393,35,27,15,11,21,38,1706,4626,4888,5157,4846,4489,22,10,15,27,41,15,21,20,14,8,12,33,2
7,'2018/11/17 14:11:50:677',2,911,778,3522,5034,5060,4961,4533,56,21,24,31,20,17,19,35,44,2595,4377,5085,4983,5079,4777,33,13,13,25,42,29,16,23,2
8,'2018/11/17 14:11:53:348',2,1250,1113,1213,3494,4982,4875,4777,20,15,21,38,43,22,352,1167,3715,4915,5030,4974,4840,1051,39,30,20,26,24,15,11,25,42,2
9,'2018/11/17 14:11:55:878',2,4618,5416,5067,5041,4930,3910,8,3,19,27,25,255,3336,4985,5072,5002,4907,4788,20,2,14,34,17,7,14,9,7,3,19,22,2
10,'2018/11/17 14:11:58:185',2,1960,985,1062,3770,5173,5008,4986,1783,27,19,8,10,32,36,13,16,19,18,8,6,813,3579,5356,5076,4956,4981,5036,4858,2287,28,2
11,'2018/11/17 14:12:02:186',2,971,1217,3126,5172,5125,4983,1476,20,6,9,17,36,40,3712,3742,4946,5028,4963,4498,27,7,6,27,40,18,15,24,17,6,10,2
12,'2018/11/17 14:12:04:271',2,3051,4525,5103,5011,4918,4901,40,15,16,30,18,9,9,19,32,24,2240,5363,5134,5099,4929,4848,4631,37,14,28,24,12,10,7,2
13,'2018/11/17 14:12:06:332',2,4022,5414,5165,5082,4886,4865,27,6,4,23,40,25,24,22,4443,5406,5013,4984,4865,4761,19,9,10,25,35,16,20,26,22,5,2
14,'2018/11/17 14:13:46:510',3,612,2714,5137,5272,5212,4936,2381,32,32,36,19,29,4023,5338,4957,4868,22,14,15,32,41,17,3530,4270,4987,5022,628,21,12,18,3
15,'2018/11/17 14:13:49:254',3,3549,5312,4891,5085,1838,35,37,18,16,27,4567,5327,4943,4941,25,10,10,27,39,5220,5485,4911,28,16,16,28,40,23,15,33,3
16,'2018/11/17 14:13:56:660',3,1218,4371,5315,5185,4892,1027,37,12,9,19,15,5345,5661,4897,4761,11,3,3,21,34,25,3749,4087,5037,4623,13,5,6,20,35,3
17,'2018/11/17 14:13:59:609',3,3951,3958,4556,5023,4848,1303,21,7,6,17,27,5360,5205,4819,4944,36,31,16,23,11,5,6,3810,4976,4814,4939,4819,14,7,3,3
18,'2018/11/17 14:14:01:878',3,4681,5204,4947,4854,38,22,18,19,15,4934,5708,5019,37,20,21,30,4921,4945,4957,1138,32,26,12,27,16,12,8,17,26,35,3
19,'2018/11/17 14:14:07:785',3,1372,3651,4931,5010,5004,4806,50,24,24,32,27,5662,5116,5059,4278,17,13,21,34,44,3442,3985,4981,4757,24,15,14,25,37,20,3
20,'2018/11/17 14:14:11:671',3,1930,4083,5455,5017,4686,47,17,22,27,17,12,13,1532,3456,5015,5022,4884,51,25,18,31,18,16,14,29,4558,5220,4896,4950,1438,3
21,'2018/11/17 14:16:29:960',4,6070,5292,5225,5010,4671,5039,1809,18,21,17,9,17,21,24,16,20,17,12,4,10,29,34,18,26,16,16,8,9,27,26,1
22,'2018/11/17 14:16:32:135',4,5778,5055,4993,4986,4958,5186,4863,1303,22,31,19,21,19,17,9,10,24,28,27,12,25,20,11,7,22,36,34,14,21,17,1
23,'2018/11/17 14:16:34:871',4,1706,3640,5410,4926,5212,5254,4806,4638,5300,5005,4300,20,4,3,20,24,28,10,15,15,5,2,7,17,25,7,11,9,10,1,1
